@RELATION xperia-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Xperia-C,Xperia-Z,Xperia-Z1}

@DATA
0.144601,0.223250,0.057260,0.234612,0.141380,0.053985,0.058773,0.057601,0.028537,0.163654,0.210057,0.058820,0.214100,0.153759,0.055599,0.058773,0.056849,0.028389,0.136274,0.249249,0.055017,0.254604,0.128831,0.048622,0.051517,0.051959,0.023927,Xperia-Z1
0.177492,0.205579,0.049841,0.211593,0.170771,0.049220,0.052704,0.052883,0.029918,0.198307,0.184818,0.053224,0.189700,0.188862,0.051773,0.053348,0.052052,0.027916,0.156809,0.238384,0.048024,0.242226,0.146541,0.046278,0.049204,0.048226,0.024307,Xperia-Z1
0.185043,0.185198,0.055708,0.189343,0.183406,0.055716,0.058160,0.058098,0.029328,0.204321,0.161427,0.059790,0.165641,0.202521,0.058727,0.059270,0.060139,0.028164,0.157709,0.226091,0.051323,0.229824,0.157539,0.051734,0.051129,0.052828,0.021824,Xperia-Z1
0.158974,0.228334,0.049119,0.233852,0.155505,0.047784,0.049072,0.049825,0.027536,0.175497,0.197624,0.052246,0.201729,0.182645,0.054691,0.051757,0.054000,0.029810,0.140752,0.251942,0.046480,0.257491,0.142327,0.047349,0.044136,0.045789,0.023733,Xperia-Z1
0.154302,0.119461,0.046451,0.196418,0.194657,0.089684,0.081013,0.058170,0.059846,0.198300,0.109733,0.053859,0.188742,0.159888,0.079349,0.097492,0.051029,0.061607,0.208464,0.185160,0.073605,0.201834,0.104099,0.047677,0.086380,0.044909,0.047872,Xperia-C
0.181640,0.163688,0.058873,0.170210,0.180249,0.057342,0.063097,0.062309,0.062592,0.203807,0.144235,0.059268,0.145127,0.212932,0.061208,0.058412,0.060071,0.054940,0.176933,0.190355,0.050247,0.197130,0.186168,0.051891,0.051065,0.051400,0.044811,Xperia-Z
0.150748,0.205493,0.055925,0.215093,0.154620,0.055335,0.057749,0.058323,0.046713,0.161279,0.203126,0.059441,0.206316,0.152432,0.057307,0.056065,0.057539,0.046496,0.140744,0.233696,0.053418,0.240534,0.138625,0.051160,0.051331,0.051377,0.039115,Xperia-Z1
0.124091,0.096588,0.036493,0.158013,0.163274,0.109147,0.075281,0.050171,0.186942,0.157433,0.095211,0.045354,0.156459,0.126789,0.087018,0.100906,0.044484,0.186346,0.176783,0.140557,0.067378,0.166182,0.092319,0.049680,0.108728,0.034881,0.163491,Xperia-C
0.210203,0.131787,0.064265,0.132962,0.209236,0.064599,0.074058,0.070422,0.042469,0.226644,0.115843,0.062636,0.118870,0.239517,0.066421,0.065194,0.066429,0.038446,0.209846,0.158609,0.054471,0.164060,0.219632,0.056791,0.056717,0.054925,0.024949,Xperia-Z
0.186882,0.178420,0.055453,0.180874,0.190139,0.057208,0.060599,0.058554,0.031872,0.208254,0.151292,0.058375,0.154802,0.222004,0.059781,0.058769,0.058286,0.028437,0.180004,0.203644,0.048292,0.208507,0.190764,0.051281,0.049794,0.049206,0.018509,Xperia-Z
