@RELATION iphone-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {iphone-4,iphone-4S,iphone-5S,iphone-5}

@DATA
0.210410,0.198994,0.040181,0.181029,0.208356,0.036978,0.040756,0.044164,0.039134,0.209814,0.205708,0.038374,0.166472,0.220470,0.038271,0.043835,0.040776,0.036280,0.191295,0.226527,0.039400,0.215050,0.192834,0.034658,0.037737,0.033836,0.028662,iphone-5S
0.155025,0.084956,0.095904,0.087300,0.138092,0.086253,0.107496,0.099400,0.145575,0.149257,0.074467,0.088001,0.094647,0.139252,0.097056,0.115689,0.093495,0.148137,0.131752,0.118693,0.089709,0.140275,0.121803,0.087397,0.104008,0.088541,0.117823,iphone-5
0.218766,0.190945,0.037963,0.179632,0.231311,0.037245,0.037840,0.042624,0.023673,0.218602,0.205112,0.039298,0.177846,0.217144,0.035746,0.040530,0.039688,0.026034,0.198255,0.233426,0.032769,0.223345,0.202628,0.029278,0.030490,0.032625,0.017185,iphone-5S
0.214251,0.118613,0.069569,0.127152,0.207895,0.067870,0.075507,0.071688,0.047456,0.216369,0.098610,0.068836,0.119032,0.206718,0.076546,0.086100,0.073654,0.054135,0.181770,0.157425,0.063753,0.180513,0.175100,0.067757,0.072204,0.066605,0.034873,iphone-5
0.191437,0.214624,0.033041,0.231993,0.212941,0.036227,0.029585,0.030138,0.020015,0.194044,0.230451,0.034428,0.229256,0.198155,0.033902,0.029881,0.029213,0.020670,0.146577,0.269504,0.028262,0.284470,0.165307,0.031666,0.026759,0.028596,0.018858,iphone-4
0.155017,0.077440,0.093696,0.079639,0.142409,0.089652,0.108809,0.099658,0.153679,0.152374,0.063705,0.090700,0.086849,0.139348,0.098272,0.117122,0.092633,0.158996,0.138382,0.105949,0.090361,0.128707,0.126709,0.091368,0.105240,0.089129,0.124155,iphone-5
0.222089,0.081371,0.075982,0.082322,0.205816,0.072018,0.094204,0.088645,0.077553,0.239973,0.055955,0.070762,0.089016,0.198163,0.083031,0.106868,0.075071,0.081162,0.215556,0.119644,0.071011,0.153631,0.173062,0.067555,0.087357,0.065775,0.046409,iphone-4S
0.213526,0.063447,0.076715,0.067104,0.212889,0.074926,0.088218,0.086027,0.117147,0.229863,0.051267,0.072002,0.077972,0.192218,0.081967,0.101752,0.072768,0.120192,0.211133,0.103460,0.070311,0.126628,0.186289,0.069924,0.081935,0.066275,0.084046,iphone-4S
0.167954,0.117292,0.083530,0.116228,0.169888,0.072985,0.081540,0.088960,0.101623,0.165819,0.123575,0.078286,0.124163,0.165747,0.078608,0.084722,0.080066,0.099013,0.137536,0.172498,0.072800,0.172208,0.143900,0.073960,0.072776,0.077222,0.077102,iphone-5S
0.232391,0.188341,0.034081,0.195560,0.228575,0.035199,0.030022,0.029932,0.025898,0.233110,0.184898,0.034775,0.192747,0.231851,0.037588,0.029855,0.028609,0.026566,0.198721,0.232622,0.029714,0.240574,0.190139,0.029547,0.027928,0.026425,0.024331,iphone-4
0.283071,0.118202,0.033045,0.136247,0.279518,0.031144,0.033085,0.033117,0.052572,0.282974,0.121150,0.033157,0.124542,0.280485,0.034237,0.037346,0.033343,0.052765,0.255496,0.163443,0.028904,0.180561,0.239538,0.027518,0.030918,0.027083,0.046538,iphone-4S
0.245523,0.166077,0.029331,0.163983,0.244798,0.027486,0.028566,0.028405,0.065832,0.247464,0.157514,0.030024,0.150763,0.255432,0.030523,0.031804,0.029428,0.067048,0.186217,0.231031,0.028469,0.228058,0.184581,0.027164,0.028356,0.025287,0.060837,iphone-5
